,original,paraphrase,transformer
939,"Ruzyne, Praga. Mednarodno letališče v srcu Evrope. Na Češkem to ime povezujejo še z nečim drugim; čisto blizu letališča je namreč tudi zloglasni zapor Ruzyne.","Ruzyne, Praga. Mednarodno letališče v srcu Evrope. Češka povezuje to ime z nečim drugim. V bližini letališča je zloglasni zapor Ruzyne.","<pad> Ruzyne, Praga. Mednarodno letališče v srcu Evrope. Mednarodno letališče v srcu Evrope."
940,"Televizijska nadaljevanka temelji na osebnih izkušnjah Eve Kanturkove, češke pisateljice in novinarke.","Televizijska serija temelji na osebnih izkušnjah Eve Kanturkove, češke pisateljice in novinarke.","<pad> Televizijska serija temelji na osebnih izkušnjah Eve Kanturkove, češke pisateljice in"
941,TRBOVLJE,- trebuh,<pad> TRBOVLJE</s>
942,"11.00Sedma sila, ponovitev nanizanke","11.00sedma sila, ponavljajoča se serija","<pad> 11.00Sedma sila, ponovitev nanizanke</s>"
943,"20.00Hermanova glava, 35. del komične nanizanke","20.00 Herman 's Head, 35. del komične serije","<pad> 20.00Hermanova glava, 35. del komične nanizanke</s>"
944,"22.50Pot v Avonleo, 29. del","22.50 Cesta v Avonleo, 29. del","<pad> 22.50Pot v Avonleo, 29. del</s>"
945,"(96,5 MHz)","(96,5 MHz)","<pad> (96,5 MHz)</s>"
946,Radio Glas Ljubljane,Radio Glas Ljubljana,<pad> Radio Glas Ljubljane</s>
947,"(99,5, 100,2 in 104, 8 MHz)","(99.5, 100.2 in 104, 8 MHz)","<pad> (99,5, 100,2 in 104, 8 MHz)</s>"
948,"5.30 Jutranji program - 6.45 Duhovna misel, Svetnik dneva 7.10 Bim-bam-bom - 7.30 Poročila - 8.00 Jutranja tema - 8.30 Dopoldanska informativna oddaja - 9.00 Ponovitev: Nedeljska reportaža - 10.15 Predstavljamo vam... - 11.10 Glasbeni urednik vam predstavlja - 12.00 Zvonjenje - 13.00 Izobraževalna oddaja - 15.00 Popoldanska informativna oddaja - 16.05 Naši poslušalci čestitajo in pozdravljajo - 17.15 Šport na radiu Ognjišče - 18.30 Večerna informativna oddaja - 19.00 Radio Glas Amerike - 20.15 Radio Vatikan - 20.35 Sončna pesem - za študente - 22.30 Nočni glasbeni program","5.30 Jutranji program - 6.45 Duhovna misel, Svetnik 7.10 Bim-bam-bom - 7.30 Poročila - 8.00 Jutranji program - 8.30 Jutranje novice - 9.00 Ponovitev Nedelja reportaža: 10.15 Predstavljamo vam... - 11.10 Urednik glasbe - 12.00 Zvonjenje - 13.00 Izobraževalni program - 15.00 Popoldanski informativni program - 16.05 Čestitamo poslušalcem - 17.15 Šport na radiu Ognjišče - 18.30 Večerni informativni program - 19.00 Radio Glas Amerika - 20.15 Radio Vatikan - 20.35 Nočna pesem - za učence - 22.30","<pad> 5.30 Jutranji program - 6.45 Duhovna misel, Svetnik dneva 7.10 Bim"
949,DSF,DSF.,<pad> DSF</s>
950,SAT 1,Sat. 1,<pad> SAT 1</s>
951,"8.00 Alpska panorama - 9.00 Poročila, čas v sliki - 9.05 Minute za kulturo - 9.45 Slike iz Avstrije - 10.30 ORF-talk show - 11.45 Tema, politični magazin - 12.35 Heidi - 13.00 Nemška gimnazijska tekmovanja - 13.30 Bavarsko kraljevo sodišče - 13.55 Pogledi s strani - 14.00 Glasba iz dežele Schaumburger - 14.45 Kot vihar - 16.20 Romantika starih železnic - 16.30 Nestos, zaščiteni naravni raj - 17.00 Slike iz Nemčije - 17.45 Dobrote nemške kuhinje - 18.15 Poročila za otroke - 18.25 Tobogan - 18.53 Spanček zaspanček - 19.00 Danes - 19.20 Minute za kulturo - 20.00 Dnevnik - 20.15 V zaupne roke - 21.45 Low budget, high energy - 30 let DFFB-ja - 22.00 Poročila, čas v sliki - 22.25 Mož na obali, fr. nem. kan. film, 1993; R: Raoul Peck; I: Jennifer Zubar, Toto Bissainthe - 0.10 Zapahnjeni čas - 0.40 10 pred deseto - 1.05 Žarišče - 1.15 Minute za kulturo","8.00 Alpska panorama - 9.00 Poročila, čas na sliki - 9.05 Minute za kulturo - 9.45 Slike iz Avstrije - 10.30 ORF-pogovor - 11.45 Theme; politična revija - 12.35 Slike - 13.00 Nemška srednješolska tekmovanja - 13.30 Bavarski kraljevi dvor - 13.55 Pogledi na stran - 14.00 Glasba iz dežele Schaumburger - 14.45 Kot vihar - 16.20 Romantika starih železnic - 16.30 Nestos, zaščiten naravni raj - 17.00 Slike iz Nemčije - 17.45 Sladkarije nemške kuhinje - 18.15 Poročila za otroke - 18.25 Heidi Tobogan - 18.53 Spanček dremež - 19.00 - 19.20 Minut za kulturo - 20.00 - 20.00 - 21.45 Romantika - 21.45 Dnevi v neurju, 21.45 let stare železnice: 30.05, Jennifer Raftos, zaščitena s sprednje plaže - 17.05",<pad> 8.00 Alpska panorama - 9.05 Minute za kulturo - 9.05 Minute
952,RAI 2,RAI 2,<pad> RAI 2</s>
953,Tudi sam mu ga rešiš...,Sam ga lahko rešiš...,<pad> Tudi sam ga rešiš...</s>
954,UGANKA,lažni alarm,<pad> UGANKA</s>
955,"Vodoravno: 1 prvak, as, 8 italijansko mesto v Abruzzih, nekdanja Hadria Picena, 12 manjša havajska kitara s ploščatim trupom in štirimi strunami, 13 drugo največje mesto v Alžiriji, 14 telečji ali svinjski hrbet s kostmi, 15 Popajeva najljubša hrana, 17 ime angleške filmske igralke Margret, 18 ameriška antropologinja (Margaret), 19 reka v južni Angliji,20 skrajni konec kopnega, 21 kovanje, 22 srednjeveški naziv za srbsko državo, 24 bajtarica, kajžarica, 26 letalo, aeroplan, 28 ime ruske filmske igralke Savine, 29 začetnici mariborskega nogometaša Gregorja Židana, 31 bruno ali greda za naložen voz sena ali slame, 32 desni pritok Ljubljanice, 34 Marijina mati, 35 mesto v Maroku na zahodnem obrobju Visokega Atlasa, 37 slavnostni moški suknjič z močno podaljšanim in visoko preklanim zadnjim delom, 38 prvi rimski založnik in knjižni mecen (Tit Pomponij), 39 preprečevanje gorenja, 41 nepomemben, nevažen človek, 42 strokovnjak za arabski jezik in kulturo.","Horizontalno 1 prvak, as, 8 italijansko mesto v Abruzzo, Hadria Picena, 12 majhna havajska kitara z ravnim telesom in štirimi strunami, 13 drugo največje mesto v Alžiriji, 14 telečje ali svinjsko hrbtno s kostmi, 15 Popajeva najljubša hrana, 17 ime angleške filmske igralke Margret, 18 ameriška antropologinja (Margaret), 19 reka v južni Angliji, 20 skrajni konec dežele, 21 oglje, 22 srednjeveško ime za srbsko državo, 24 kajgarica, 26 kajarica, 26 letalo za igralko 28 ime ruske igralke Savina, 29 začetnic mariborskega nogometaša Gregorja Židana, 31 hlodov za naložen seno ali slamo, 32 na desni strani, na koncu mesta Ljubljana, 35 moških v Ljubljani, 35 moških in 39 moških na obrobju Ljubljane, 39 malih obrobjih in na obrobju mesta Ljubljana.","<pad> Vodoravno: 1 prvak, as, 8 italijansko mesto v Abruzzih, nekdanja Ha"
956,"MÜNCHEN - Spet se je dvignil prah zaradi intervjuja, ki ga je objavila nemška ilustrirana revija Bunte: potem ko so uredniki priznali, da so si dele intervjuja s filmskim igralcem Tomom Cruisom in tudi s monaško princeso Caroline preprosto izmislili, naj bi si pred kratkim izmislili še intervju s češkim predsednikom Vaclavom Havlom, ki so ga objavili na več straneh. Pogovora o Pragi, njegovem rodnem mestu, menda sploh ni bilo, poroča časnik Süddeutsche Zeitung. Glavni urednik revije Bunte je že dal odpoved.","MÜNCHEN - Again je prah razburkal intervju, ki ga je objavila nemška ilustrirana revija Bunte: Potem ko so uredniki priznali, da so bili deli intervjuja s filmskim igralcem Tomom Cruisom in tudi kneginjo Karolino Monaško preprosto izmišljeni, je bil nedavno narejen intervju s češkim predsednikom Vaclavom Havelom, ki je bil objavljen na več straneh. Razprava o Pragi, njegovem domačem kraju, očitno sploh ni bila, poroča Süddeutsche Zeitung.","<pad> MÜNCHEN - Spet se je dvignil prah zaradi intervjuja, ki ga je objavila nemška"
957,"Nemška pošta bo 9. oktobra izdala priložnostno znamko nominalne vrednosti 100 pfenigov, na kateri je oblikovalka iz Münchna Antonia Graschberger zasnovala Brucknerjev portret, v ozadju pa rokopis njegove tretje simfonije.","9. oktobra bo nemška pošta izdala spominsko znamko z nominalno vrednostjo 100 pfenig, na kateri je oblikovalka iz Münchna Antonia Graschberger oblikovala Brucknerjev portret, z rokopisom svoje tretje simfonije v ozadju.","<pad> Nemška pošta bo 9. oktobra izdala priložnostno znamko nominalne vrednosti 100 pfenigov,"
958,"""Vedo v tovarni za tvojo preteklost?""","""Ali tovarna ve za vašo preteklost?""","<pad> ""Vedo v tovarni za tvojo preteklost?""</s>"
959,"""In plača ti ušivi dolarček na uro?""","""in plačuje ti ušiv dolar na uro?""","<pad> ""In plača ti ušivi dolar na uro?""</s>"
960,"Po naravi sem radoveden. Dva tisočaka sta kar precej denarja, še posebej, če upoštevam svoj položaj.","radoveden sem. dva tisočaka sta veliko denarja, še posebej glede na moj položaj.","<pad> Po naravi sem radoveden. Dva tisočaka sta kar precej denarja, še posebej, če upošteva"
961,"""Dva tisočaka?""","""Dva tisoč dolarjev? ""","<pad> ""Dva tisočaka?""</s>"
962,"""Torej?""","""Pa kaj potem?""","<pad> ""Torej?""</s>"
963,"""Pristanem,"" sem mu ponudil roko, ki jo je sprejel šele čez nekaj časa, ker je bil presenečen zaradi moje hitre odločitve. ""Upam, da me refleksi niso zapustili v zaporu. Moral bom z blatom umazati registrsko številko.""","""strinjam se,"" ponudil sem mu svojo roko, ki jo je čez nekaj časa vzel, ker je bil presenečen nad mojo hitro odločitvijo. ""upam, da me moji refleksi niso pustili v zaporu. registracijsko tablico bom moral umazati z blatom.""","<pad> ""Pristanem,"" sem mu ponudil roko, ki jo je sprejel čez nekaj časa, ker"
964,"V Izraelu je vse več zahtev po tem, naj država stori vse, kar lahko za njegovo osvoboditev. Vendar je bil doslej ves trud zaman. Še do pred kratkim so libanonski šiiti zanikali, da bi bil pilot sploh še živ. Najprej so trdili, da je umrl že ob sestrelitvi njegovega letala, potem, da je pred šestimi leti pobegnil iz ujetništva in da za njegovo nadaljnjo usodo ne vedo. V zadnjem času pa je podatkov o njem vendarle nekaj več. Tako se bodo morda le lahko začela dogovarjanja o njegovi morebitni izpustitvi. (m)","V Izraelu, obstaja vse večje povpraševanje po državi storiti vse, kar je lahko, da ga osvobodi. Vendar, doslej, vsa prizadevanja so bila zaman. Do pred kratkim, libanonski Shiiti so zanikali, da je bil pilot še vedno živ. Prvič, so trdili, da je umrl, ko je bilo njegovo letalo sestreljeno, potem, da je pobegnil iz ujetništva pred šestimi leti in da ne vedo o svoji prihodnji usodi. V zadnjem času, Vendar pa obstaja več informacij o njem.","<pad> V Izraelu je vse več zahtev po tem, da država stori vse, kar lahko, kar lahko"
965,"Predvsem Francijo moti, da Clinton na sestanek ni povabil evropskih držav","Francija je še posebej razburjena, ker Clinton ni povabil evropskih držav na srečanje","<pad> Predvsem Francijo moti, da Clinton na sestanek ni povabil evropskih držav</s>"
966,Talibani so povsem spremenili družbenopolitično sliko Afganistana,Talibani so spremenili politične razmere v Afganistanu,<pad> Talibani so povsem spremenili družbenopolitično sliko Afganistana</s>
967,"Pred dvema letoma zanje nihče tako rekoč še slišal ni, saj jih niti ni bilo, zdaj pa že vladajo v glavnem mestu pomembne azijske države. Verjetno jih bodo v kratkem celo priznali za njeno zakonito vlado, čeprav so pred njimi še hudi boji z vojaškimi mogočneži z državnega severa za nadzor nad vsem državnim ozemljem. Gre za gibanje talibanov, islamskih šolarjev, ki so v slabih dveh letih povsem spremenili politično in družbeno podobo Afganistana. Ustvarili so možnost, da se bo država po 17 letih vojne vendarle umirila, vendar končala kot ena najbolj nazadnjaških azijskih držav.","Pred dvema letoma je nihče ni niti slišal za njih, saj niso bili, in zdaj so odločanje glavno mesto velike azijske države. Verjetno bodo priznani kot svojo legitimno vlado v bližnji prihodnosti, čeprav so še vedno soočajo s hudimi spopadi z vojskovodje iz severa države za nadzor nad celotno državo. To je gibanje talibanov, islamskih šolarjev, ki so popolnoma spremenili politično in socialno podobo Afganistana v manj kot dveh letih. Ustvarili so možnost, da se bo po 17 letih vojne država končno umirila, vendar bo na koncu postala ena izmed najbolj zaostalih","<pad> Pred dvema letoma nihče od njih ni slišal, saj jih niti ni slišal, zdaj pa vladajo v"
968,Petrosjan z ustavnimi sredstvi uvaja v Armeniji novo avtoritarno družbeno ureditev,Petrosyan uvaja nov avtoritarni družbeni red v Armeniji z ustavnimi sredstvi,<pad> Petrosjan z ustavnimi sredstvi uvaja novo avtoritarno družbeno ureditev v Armeniji novo avtorita
969,"Kmalu potem, ko so bili 23. septembra ob dveh ponoči prešteti glasovi, naj bi predsednik Ter Petrosjan, tako pravijo v opoziciji, spoznal, da je doživel poraz, pa četudi so mu volilne komisije skušale ""pomagati"". Kot pravijo v opoziciji, se je oblast tedaj odločila, da bo ponaredila volilne izide pri tistih občinskih in okrožnih volilnih komisijah, v katerih so bili ljudje iz predsednikove stranke Bloka za republiko v večini. Na podlagi tako ponarejenih zapisnikov naj bi državna volilna komisija objavila prvo sporočilo o predsednikovi prednosti, nato pa je še sam predsednik zatrdil, da je bil drugič zapored izvoljen za predsednika.","Kmalu po tem, ko so bili glasovi prešteti na 23 september ob dveh urah v noči, Predsednik Ter Petrosjan, pravijo v opoziciji, je dejal, da so spoznali, da je bil poražen, čeprav so volilne komisije poskušali ""mu pomaga "". Kot pravijo v opoziciji, so se oblasti nato odločili, da ponarediti rezultate volitev tistih občinskih in okrožnih volilnih komisij, v katerih so bili ljudje iz predsednika Bloka za stranko republike v večini. Na podlagi teh ponarejenih evidenc, Državna volilna komisija objavila prvo sporočilo o predsednikov prednost, nato pa predsednik sam izjavil, da je bil izvoljen za predsednika že drugič zapored.","<pad> Kmalu po polnoči, 23. septembra ob dveh zjutraj prešteti glasovi, naj bi predsednik Ter Petros"
970,"Demonstranti so po hudem pretepu s policisti in posebnimi policijskimi enotami nadaljevali svoje zborovanje na osrednjem erevanskem trgu. Tam so se dogovorili, da se bodo spet zbrali že naslednji dan natanko opoldne.","Po hudem pretepu s policisti in posebnimi policijskimi enotami so demonstranti nadaljevali s zborovanjem na osrednjem trgu v Erevanu in se dogovorili, da se opoldne naslednjega dne ponovno sestanejo.",<pad> Demonstranti so po hudem pretepu s policisti in posebnimi policijskimi enotami nadaljevali svoje
971,DAVID PETROSJAN (Stina),David Petrosjan (Stina),<pad> DAVID PETROSJAN (Stina)</s>
972,"nDÜSSELDORF - Kakšnih 2000 delavcev v Mercedesovi avtomobilski tovarni v Düsseldorfu še vedno stavka zaradi napovedanega znižanja nadomestil za bolniške izostanke. Vodstvo nemškega koncerna Daimler Benz se je namreč odločilo, da bo že danes začelo upoštevati odločitev parlamenta, ki je zaradi varčevanja napovedal znižanje teh nadomestil za petino. Sindikati pravijo, da delodajalci novih zakonskih predpisov ne morejo uveljaviti prej, preden se ne bodo dogovorili za nove kolektivne pogodbe. V Mercedesu so samo v soboto zaradi stavke izdelali skoraj tisoč avtomobilov manj kot sicer. (Telefoto: Reuter)","nDÜSSELDORF - Približno 2000 delavcev v avtomobilski tovarni Mercedes-Benz v Düsseldorfu še vedno stavka zaradi napovedanega zmanjšanja nadomestil za bolniške odsotnosti. Vodstvo nemške skupine Daimler Benz se je danes odločilo ravnati v skladu z odločitvijo parlamenta, ki je napovedal zmanjšanje teh nadomestil za petino, da bi prihranili denar. Sindikati pravijo, da delodajalci ne morejo izvajati novih zakonskih predpisov, preden se dogovorijo o novih kolektivnih pogodbah. Pri Mercedesu je bilo samo v soboto zaradi stavke proizvedenih skoraj tisoč avtomobilov manj kot običajno. (Telefoto Reuter)",<pad> V Mercedesovi avtomobilski tovarni v Düsseldorfu še vedno stavka zaradi napovedanega
973,"Sinoči je s Paysage apres la bataille nastopila skupina koreografa Angelina Preljocaja. Nocoj nastopa PTL s predstavo Klon, drugi del letošnjega programa pa poleg svetovne premiere predstave Drumming Anne Terese de Keersmaeker in skupine Rosas (7. avgusta) med drugim vključuje koreografije Alaina Platela, Finca Tera Saarinena in Sabura Teshigaware. Festival se bo končal s predstavitvijo letošnje poletne plesne šole Somertanzwochen Wien.","Sinoči je skupina koreografinj Angeline Preljocaj nastopila s Paysage apres la bataille. Nocoj bo PTL nastopil s predstavo Klon, drugi del letošnjega programa pa bo poleg svetovne premiere predstave Drumming Anne Terese de Keersmaeker in Roses (7. avgust) vključeval tudi koreografije Alaina Platela, Finca Ter Saarinena in Sabure Teshigaware.",<pad> Nocoj je s Paysage apres la bataille nastopila skupina koreogra
